,stc Home Page,,,,Zain Homepage,,,,Ooredoo Homepage,,,,Virgin Mobile Homepage,,,,stc KSA,,,,stc Bahrain,,,
9-Feb-26,100,70,96,65,85,74,70,59,85,96,77,47,85,74,69,46,85,56,71,61,91,56,93,91
10-Feb-26,100,50,94,58,85,69,61,74,85,73,77,13,85,54,69,26,85,54,71,57,91,54,91,49
11-Feb-26,100,69,94,59,85,50,61,55,85,73,77,12,85,73,69,22,85,50,71,57,91,54,91,67
12-Feb-26,100,69,94,60,85,50,61,58,85,73,77,12,85,73,69,37,85,50,71,55,91,54,91,64
22-Feb-26,100,70,96,58,85,74,70,65,85,93,77,18,85,74,69,23,85,56,71,55,91,56,96,69
16-Feb-26,100,70,96,62,92,71,58,25,85,96,77,33,85,74,69,35,85,56,71,49,91,56,93,76
17-Feb-26,100,88,92,97,85,50,61,51,85,73,77,17,85,54,69,26,85,50,71,62,91,54,91,82
18-Feb-26,100,50,94,60,85,50,61,48,85,73,77,14,85,54,69,22,85,50,71,58,91,54,91,74
19-Feb-26,100,50,94,60,85,50,61,51,85,73,77,16,85,54,69,29,85,50,71,56,91,54,91,59
22-Feb-26,100,50,94,61,77,54,71,55,85,73,77,19,85,54,69,35,85,50,71,58,91,54,91,61
23-Feb-26,100,50,94,59,77,54,71,56,85,73,77,12,85,54,69,30,85,50,71,38,91,54,91,67
24-Feb-26,100,50,94,60,85,50,61,75,85,73,77,12,85,54,69,25,85,50,71,58,91,54,91,65
,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-26,100,50,94,64,85,50,61,47,85,73,77,12,85,54,69,21,85,50,71,58,91,54,91,72
2-Mar-26,100,50,94,63,85,50,61,51,85,73,77,16,85,54,69,29,85,50,71,56,91,54,91,59
3-Mar-26,100,69,94,59,85,50,61,55,85,73,77,12,85,73,69,22,85,50,71,57,91,54,91,67
4-Mar-26,100,50,94,60,85,50,61,69,85,73,77,10,85,54,69,16,85,50,71,56,91,54,91,65
5-Mar-26,100,50,94,65,85,50,61,51,85,73,77,16,85,54,69,29,85,50,71,56,91,54,91,59
8-Mar-26,100,50,94,62,85,50,61,66,85,73,77,15,85,54,69,25,85,50,71,58,91,54,91,65
9-Mar-26,100,50,92,60,85,50,61,50,85,73,77,21,85,54,69,29,85,50,71,57,91,54,91,66
10-Mar-26,100,69,94,59,85,50,61,55,85,73,77,12,85,73,69,22,85,50,71,57,91,54,91,67
11-Mar-26,100,50,94,57,85,50,61,56,85,73,77,22,85,77,70,27,85,50,71,51,91,54,91,70
12-Mar-26,100,50,94,62,85,50,61,69,85,73,77,10,85,54,69,16,85,50,71,56,91,54,91,65
15-Mar-26,100,50,94,63,85,69,61,61,85,73,77,12,85,54,69,41,85,50,71,59,91,54,91,69
16-Mar-26,100,50,88,60,85,69,61,64,85,73,77,16,85,54,69,46,85,50,71,60,91,54,91,78
17-Mar-26,100,50,94,57,85,50,61,50,77,73,77,16,85,54,69,34,85,50,71,46,91,54,91,70
18-Mar-26,100,50,92,61,85,50,61,50,85,73,77,21,85,54,69,29,85,50,71,57,91,54,91,66
24-Mar-26,100,50,94,58,85,50,61,50,85,73,77,11,85,54,69,22,85,50,71,57,91,54,91,56
25-Mar-26,100,50,94,56,85,50,61,55,85,73,77,18,85,54,69,19,85,50,71,56,91,54,91,77
26-Mar-26,100,50,94,60,85,50,61,69,85,73,77,10,85,54,69,16,85,50,71,56,91,54,91,65
29-Mar-26,100,50,92,59,85,50,61,50,85,73,77,21,85,54,69,29,85,50,71,57,91,54,91,66
30-Mar-26,100,50,94,60,85,50,61,58,85,73,77,12,85,73,69,37,85,50,71,55,91,54,91,64
31-Mar-26,100,50,94,62,85,69,61,61,85,73,77,12,85,54,69,41,85,50,71,59,91,54,91,69
,,,,,,,,,,,,,,,,,,,,,,,,
1-Apr-26,100,69,94,62,85,50,61,50,85,73,77,12,85,73,69,22,85,50,71,57,91,54,91,67
2-Apr-26,100,50,94,59,85,50,61,69,85,73,77,10,85,54,69,16,85,50,71,56,91,54,91,65
5-Apr-26,100,50,94,65,85,50,61,51,85,73,77,16,85,54,69,29,85,50,71,56,91,54,91,59
6-Apr-26,100,50,94,54,85,50,67,51,85,73,77,13,85,54,69,25,85,54,71,59,100,54,91,57
7-Apr-26,100,50,94,59,85,50,67,38,85,73,77,20,85,54,69,33,85,54,71,57,100,54,91,68
8-Apr-26,100,50,94,61,85,50,67,36,85,73,77,10,85,54,69,29,85,54,71,53,100,54,91,63
9-Apr-26,100,50,94,59,85,50,67,41,85,73,77,11,85,54,69,26,85,50,71,60,100,54,91,65
12-Apr-26,100,50,94,60,85,50,61,45,85,73,77,9,85,73,69,35,85,50,71,58,91,54,91,59
13-Apr-26,100,50,94,59,85,50,67,42,85,73,77,13,85,54,69,25,85,50,71,56,100,54,91,55
14-Apr-26,100,50,94,54,85,50,61,48,85,73,77,16,85,73,69,36,85,50,71,51,91,54,91,63
15-Apr-26,100,50,94,60,85,50,67,51,85,73,77,15,85,54,69,31,85,50,71,60,100,54,91,67
16-Apr-26,100,88,93,98,85,54,64,43,85,73,77,11,85,54,69,21,85,50,71,56,91,54,91,70
19-Apr-26,100,50,94,59,85,50,64,37,85,73,77,9,85,54,69,21,85,50,71,56,91,54,91,58
20-Apr-26,100,50,94,59,85,50,64,42,85,73,77,10,85,54,69,21,85,50,71,55,91,54,91,57
21-Apr-26,100,50,94,59,85,50,64,15,85,73,77,9,85,54,69,41,85,50,71,57,91,54,91,69
22-Apr-26,100,50,94,62,85,50,64,10,85,73,77,14,85,54,69,21,85,50,71,59,91,54,91,60
23-Apr-26,100,50,94,59,85,74,70,59,85,73,77,18,85,54,69,20,85,50,71,57,91,54,91,67
26-Apr-26,92,50,94,59,85,50,64,39,85,73,77,16,85,54,69,23,85,50,71,51,91,54,92,38
27-Apr-26,100,60,94,62,85,50,61,50,85,73,77,12,85,73,69,22,85,50,71,57,91,54,91,67
28-Apr-26,100,50,94,65,85,50,61,51,85,73,77,16,85,54,69,29,85,50,71,56,91,54,91,59
29-Apr-26,100,50,94,61,85,50,67,36,85,73,77,10,85,54,69,29,85,54,71,53,100,54,91,63
30-Apr-26,100,50,94,55,85,50,67,45,85,73,77,18,85,54,69,23,85,54,71,62,100,54,91,69
,,,,,,,,,,,,,,,,,,,,,,,,
3-May-26,100,50,94,58,77,54,74,39,85,50,77,10,85,54,69,21,85,50,71,63,91,54,91,63
4-May-26,100,50,94,59,77,54,74,44,85,50,77,15,85,54,69,20,85,50,71,63,91,54,91,60
6-May-26,100,50,94,59,77,54,74,51,85,50,77,9,85,54,69,19,85,54,71,61,91,54,91,62
7-May-26,100,50,94,60,85,54,67,33,85,50,77,8,85,54,69,17,85,50,71,57,91,54,91,60
10-May-26,100,50,94,60,85,50,67,51,85,73,77,15,85,54,69,31,85,50,71,60,100,54,91,67
11-May-26,100,50,93,65,85,54,64,43,85,73,77,11,85,54,69,21,85,50,71,56,91,54,91,70
12-May-26,100,50,94,59,85,50,64,37,85,73,77,9,85,54,69,21,85,50,71,56,91,54,91,58
13-May-26,100,50,94,60,85,50,61,58,85,73,77,12,85,73,69,37,85,50,71,55,91,54,91,64
14-May-26,100,50,94,62,85,69,61,61,85,73,77,12,85,54,69,41,85,50,71,59,91,54,91,69
17-May-26,91,54,93,62,85,50,67,42,85,50,77,17,85,54,69,26,85,50,71,57,91,54,93,62
18-May-26,100,50,94,60,85,50,67,37,85,50,71,2,85,54,69,26,85,50,71,51,91,54,93,63
19-May-26,100,50,94,60,85,50,67,42,85,50,77,10,85,54,69,19,85,50,71,56,91,54,93,57
20-May-26,100,50,94,58,77,54,74,39,85,50,77,10,85,54,69,21,85,50,71,63,91,54,91,63
21-May-26,100,50,94,59,77,54,74,44,85,50,77,15,85,54,69,20,85,50,71,63,91,54,91,60
24-May-26,100,50,94,60,85,50,67,51,85,73,77,15,85,54,69,31,85,50,71,60,100,54,91,67
25-May-26,100,50,94,59,85,50,67,44,85,50,77,9,85,54,69,27,77,50,71,34,91,54,93,68
,,,,,,,,,,,,,,,,,,,,,,,,
1-Jun-26,100,50,92,52,85,50,67,29,85,50,77,10,85,54,69,22,77,54,70,34,91,54,93,68
2-Jun-26,100,54,93,62,85,50,67,42,85,50,77,17,85,54,69,26,85,50,71,57,91,54,93,62
3-Jun-26,100,50,94,59,85,50,63,38,85,50,77,11,85,54,69,47,77,50,70,34,91,54,93,62
4-Jun-26,100,54,93,62,85,50,67,42,85,50,77,17,85,54,69,26,85,50,71,57,91,54,93,62
7-Jun-26,100,50,94,64,85,50,66,33,85,50,77,23,85,54,69,28,77,54,70,34,91,54,93,72
8-Jun-26,100,50,94,63,85,50,63,6,75,54,73,21,85,54,69,29,85,50,70,54,91,54,93,59
9-Jun-26,100,50,94,61,85,50,63,14,85,50,77,36,85,54,69,19,85,50,70,57,92,54,93,64
10-Jun-26,100,50,94,58,86,50,66,28,85,50,77,10,85,54,69,23,85,50,70,52,92,54,93,64
11-Jun-26,100,50,94,62,86,50,66,18,85,50,77,10,85,54,69,23,85,50,70,55,92,54,93,60
14-Jun-26,100,50,94,65,86,50,66,18,85,50,77,10,85,54,69,19,85,50,70,53,92,54,93,62
15-Jun-26,100,50,94,62,86,50,66,18,85,50,77,10,85,54,69,19,85,50,70,53,92,54,93,60
17-Jun-26,100,50,94,62,86,50,66,18,85,50,77,10,85,54,69,19,85,50,70,53,92,54,93,60
18-Jun-26,100,50,94,62,86,50,66,22,85,50,77,10,85,54,69,22,85,50,70,56,92,54,93,58
21-Jun-26,100,50,94,54,86,50,66,18,85,50,77,10,85,54,69,19,85,50,70,53,92,54,93,60
22-Jun-26,100,50,94,55,86,50,66,18,85,50,77,10,85,54,69,19,85,50,70,53,92,54,93,60
23-Jun-26,100,50,94,54,86,50,66,18,85,50,77,21,85,54,69,19,85,54,70,63,92,54,93,60
24-Jun-26,100,50,94,54,86,50,66,18,85,50,77,21,85,54,69,19,85,54,70,63,92,54,93,60
25-Jun-26,100,50,94,56,86,50,66,18,85,50,77,21,85,54,69,19,85,54,70,63,92,54,93,60
28-Jun-26,100,50,94,55,86,50,66,21,85,50,77,26,85,54,69,18,85,50,70,57,92,54,93,73
29-Jun-26,100,50,94,52,86,50,66,21,85,50,77,26,85,54,69,19,85,50,70,57,92,54,93,73
30-Jun-26,100,50,94,52,86,50,66,18,85,50,77,28,85,54,69,18,85,50,70,58,92,54,93,73
1-Jul-26,100,50,94,55,86,50,66,22,85,50,77,26,85,54,69,18,85,50,70,64,92,54,93,70
2-Jul-26,100,50,94,55,86,50,66,22,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
3-Jul-26,100,50,94,54,86,50,66,22,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
5-Jul-26,100,50,94,55,86,50,66,22,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
6-Jul-26,100,50,92,55,86,50,66,22,85,50,77,28,85,54,69,17,85,50,70,64,92,54,93,73
7-Jul-26,100,50,92,55,86,50,66,22,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
8-Jul-26,100,69,90,85,86,50,66,24,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
9-Jul-26,100,69,94,87,86,50,66,24,85,50,77,28,85,54,69,17,85,50,70,64,92,54,93,73
12-Jul-26,100,69,94,87,86,50,66,24,85,50,77,26,85,54,69,17,85,50,70,64,92,54,93,73
13-Jul-26,100,69,94,87,86,50,66,18,85,50,77,26,85,54,69,18,85,50,70,64,92,54,93,73
14-Jul-26,100,69,94,45,86,50,66,24,85,50,77,26,85,54,69,17,85,50,70,68,92,54,93,77
15-Jul-26,100,69,94,87,86,50,66,24,85,50,77,26,85,54,69,18,85,50,70,64,92,54,93,73
16-Jul-26,100,69,94,87,86,50,66,22,85,50,77,28,85,54,69,17,85,50,70,64,92,54,93,68
19-Jul-26,100,69,94,87,86,50,66,22,85,50,77,28,85,54,69,17,85,50,70,64,92,54,93,70
20-Jul-26,100,69,94,88,86,50,66,22,85,50,77,14,85,54,69,17,85,50,70,64,92,54,93,68
21-Jul-26,100,69,94,89,86,50,66,22,85,50,77,14,85,54,69,16,85,50,70,64,92,54,93,66
22-Jul-26,100,69,94,88,86,50,66,22,85,50,77,14,85,54,69,17,85,50,70,64,92,54,93,68
23-Jul-26,100,69,91,94,86,50,66,22,85,50,77,14,85,54,69,17,85,50,70,64,92,54,90,62
26-Jul-26,100,69,91,94,86,50,66,22,85,50,77,18,85,54,69,22,85,50,70,64,92,54,93,68
27-Jul-26,100,69,91,94,86,50,66,22,85,50,77,14,85,54,69,17,85,50,70,65,92,54,93,68
28-Jul-26,100,69,91,94,86,50,66,22,85,50,77,14,85,54,69,20,85,50,70,64,92,54,93,68
29-Jul-26,100,69,91,94,86,50,66,22,85,73,77,22,85,54,69,14,85,50,70,64,92,54,89,65
30-Jul-26,100,69,91,92,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
2-Aug-26,100,69,91,92,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
3-Aug-26,100,69,91,92,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
4-Aug-26,100,69,91,92,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,64
5-Aug-26,100,69,96,91,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
6-Aug-26,100,69,96,91,86,50,66,22,85,73,77,16,85,54,69,17,85,50,70,67,92,54,89,66
9-Aug-26,100,69,96,92,86,50,66,20,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
10-Aug-26,100,69,96,91,86,50,66,26,85,73,77,16,85,54,69,17,85,50,70,68,92,54,89,65
11-Aug-26,100,69,96,91,86,50,66,22,85,73,77,18,85,54,69,17,85,50,70,67,92,54,89,66
13-Aug-26,100,69,96,90,86,50,66,18,85,73,77,27,85,54,69,24,85,50,70,64,92,54,89,67
16-Aug-26,100,69,96,88,86,50,66,24,85,73,77,21,85,50,69,14,85,50,70,67,92,54,89,61
17-Aug-26,100,69,96,90,86,50,66,26,85,73,77,19,85,50,69,14,85,50,70,66,92,54,89,60
18-Aug-26,100,69,96,85,86,50,66,24,85,73,77,18,85,50,69,16,85,50,70,68,92,54,89,58
19-Aug-26,100,69,96,92,86,50,66,20,85,73,77,22,85,50,69,17,85,50,70,66,92,54,89,55
20-Aug-26,100,67,96,89,86,50,66,18,85,73,77,18,85,50,69,17,85,50,70,66,92,54,89,55
23-Aug-26,100,69,96,90,86,50,66,20,85,73,77,22,85,50,69,17,85,50,70,66,100,54,92,56
24-Aug-26,100,67,96,89,86,50,66,20,85,73,77,15,85,50,69,17,85,50,70,66,100,54,96,53
25-Aug-26,100,67,96,88,86,50,66,18,85,73,77,15,85,50,69,20,85,50,70,66,100,54,96,54
